Net Status Report
Filename     : C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\ControllerRevB\HPBIController.PcbDoc
Date         : 10/3/2019
Time         : 3:16:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    DDR3_DQS3_N, Signal Layers Only, 23.0019mm
    DDR3_DQS3_P, Signal Layers Only, 22.4783mm
    DDR3_ODT, Signal Layers Only, 112.5036mm
    DDR3_RAS_B, Signal Layers Only, 108.2575mm
    DDR3_RESET_B, Signal Layers Only, 103.8513mm
    DDR3_S3, Signal Layers Only, 3.2157mm
    DDR3_S5, Signal Layers Only, 3.05mm
    DDR3_VRN, Signal Layers Only, 12.8873mm
    DDR3_VRP, Signal Layers Only, 12.6055mm
    DDR3_WE_B, Signal Layers Only, 106.921mm
    DDR3_ZQ2, Signal Layers Only, 3.247mm
    DDR3_ZQ3, Signal Layers Only, 3.5008mm
    DEV_ID0, Signal Layers Only, 80.911mm
    DEV_ID1, Signal Layers Only, 72.2883mm
    DUT_PRESENT_N, Signal Layers Only, 86.2534mm
    ETH_INT_B, Signal Layers Only, 20.1851mm
    ETH_ISET, Signal Layers Only, 4.9891mm
    ETH_LDO_O, Signal Layers Only, 14.7097mm
    ETH_LED1, Signal Layers Only, 35.9231mm
    ETH_LED2, Signal Layers Only, 25.9015mm
    ETH_LED_ACT, Signal Layers Only, 24.9879mm
    ETH_LED_LINK, Signal Layers Only, 10.2943mm
    ETH_LED_MODE, Signal Layers Only, 8.9994mm
    ETH_MD1_N, Signal Layers Only, 16.514mm
    ETH_MD1_P, Signal Layers Only, 16.024mm
    ETH_MD2_N, Signal Layers Only, 26.9266mm
    ETH_MD2_P, Signal Layers Only, 27.1112mm
    ETH_MD3_N, Signal Layers Only, 27.9613mm
    ETH_MD3_P, Signal Layers Only, 27.5112mm
    ETH_MD4_N, Signal Layers Only, 35.7815mm
    ETH_MD4_P, Signal Layers Only, 34.6869mm
    ETH_MDC, Signal Layers Only, 48.1007mm
    ETH_MDIO, Signal Layers Only, 49.9522mm
    ETH_RST_B, Signal Layers Only, 3.1021mm
    ETH_RXD0, Signal Layers Only, 54.537mm
    ETH_RXD0_U, Signal Layers Only, 3.7121mm
    ETH_RXD1, Signal Layers Only, 59.1323mm
    ETH_RXD1_U, Signal Layers Only, 4.0607mm
    ETH_RXD2, Signal Layers Only, 56.3291mm
    ETH_RXD2_U, Signal Layers Only, 3.7653mm
    ETH_RXD3, Signal Layers Only, 51.8475mm
    ETH_RXD3_U, Signal Layers Only, 4.0186mm
    ETH_RX_CLK, Signal Layers Only, 332.247mm
    ETH_RX_CLK_U, Signal Layers Only, 4.0021mm
    ETH_RX_CTRL, Signal Layers Only, 63.3577mm
